case_id,image_id,image_order,source_image_path,resolved_image_path,file_exists,bag_slot,retained_for_bag,run_mode,sha256,byte_size,width,height,decode_ok,error,image_mode
-1000600354148496558,-3205742176803893704,0,dataset/images/-3205742176803893704.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/-3205742176803893704.png,True,0,True,smoke,00c274ad2c0e61256652e5c957ff550b9e2ebf67cfda35b3695f4e490a89bb84,999902,810,779,True,,RGB
-1002039107727665188,-4762289084741430925,0,dataset/images/-4762289084741430925.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/-4762289084741430925.png,True,0,True,smoke,c6fbdb32c60129598600c4cb5453eacc70e29bc4881904e7620949074acf0ae7,1582026,1080,810,True,,RGB
-1003358831658393077,-4027806997035329030,0,dataset/images/-4027806997035329030.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/-4027806997035329030.png,True,0,True,smoke,70f4c608754cf46229b7ab1860bcf37a6711d07d5a64b2cc66518578811d7a83,1754568,810,1080,True,,RGB
-1003844406100696311,-3799298995660217860,0,dataset/images/-3799298995660217860.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/-3799298995660217860.png,True,0,True,smoke,3bbde819cda9f6755ec83f49186151f2349c227d25dca67a830e9228e7acd81d,1531648,810,1080,True,,RGB
-1003844406100696311,-5881426422999442186,1,dataset/images/-5881426422999442186.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/-5881426422999442186.png,True,1,True,smoke,be9cd81a317609f397f44cd19c5283f60c51a5c4f9ac99e19cc09b020c8cafa2,1754321,810,1080,True,,RGB
-1003844406100696311,5854025080806696361,2,dataset/images/5854025080806696361.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/5854025080806696361.png,True,2,True,smoke,da27a2b698cf26a6814683c66a9cab942b1c957476471d1e66f7d6853d43357f,1335708,810,1080,True,,RGB
-1005079160214352144,-3575683440831198879,0,dataset/images/-3575683440831198879.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/-3575683440831198879.png,True,0,True,smoke,1f657c36efd5a72874fc7b9904c30d62f1c9456603d9768a8ffe527ad1d9eb5d,953263,810,1080,True,,RGB
-1005079160214352144,6164754101533643044,1,dataset/images/6164754101533643044.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/6164754101533643044.png,True,1,True,smoke,b0f9c6da60216e1d39d53f5eead42e57880dc48c007e4b750abf8f81bbe7c305,924253,810,1080,True,,RGB
-1005079160214352144,7125798012232703466,2,dataset/images/7125798012232703466.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/7125798012232703466.png,True,2,True,smoke,0e98d0a051552408384b68de0105d90ecc43ba37a188deaa7d778ff5e4884846,569072,460,1079,True,,RGB
-1010778459521153386,-6942912841265248602,0,dataset/images/-6942912841265248602.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/-6942912841265248602.png,True,0,True,smoke,a32d3d3cac96c4710fb14d994088c8e125388388c6856fb37bd6e01a8392e1ca,584394,810,624,True,,RGB
-1010778459521153386,-815168034213335912,1,dataset/images/-815168034213335912.png,/home/prime/Documents/github/derm-paper-codebases/SCIN-Dermatology-Raw-Images/images/-815168034213335912.png,True,1,True,smoke,3d56e0b1bd1c083fcf31b7b90682b5577004e050d12ce795544f0a16799b4fff,290140,810,380,True,,RGB
