field,category,split,cases
image_paths,"[""dataset/images/-1887752443592481816.png"", ""dataset/images/-2538058922836253726.png"", ""dataset/images/-6801560168711488500.png""]",test,1
image_paths,"[""dataset/images/-2010073807235552734.png"", ""dataset/images/-4139674123303543516.png""]",test,1
image_paths,"[""dataset/images/-3580987760325194553.png"", ""dataset/images/-9171192236563730248.png"", ""dataset/images/5416495610526132137.png""]",test,1
image_paths,"[""dataset/images/-561455762939806319.png"", ""dataset/images/2814079592430988241.png"", ""dataset/images/8961278410759832396.png""]",test,1
image_paths,"[""dataset/images/-870319501963618397.png"", ""dataset/images/1909523155166770891.png"", ""dataset/images/2807590049883685266.png""]",test,1
image_paths,"[""dataset/images/-8749027469505338475.png"", ""dataset/images/603415706167749543.png"", ""dataset/images/7314732324738780378.png""]",test,1
image_paths,"[""dataset/images/-1519713654362297847.png"", ""dataset/images/1501184747950981148.png"", ""dataset/images/5638436494515280662.png""]",train,1
image_paths,"[""dataset/images/-1973566697609953379.png"", ""dataset/images/-2790405936552777220.png"", ""dataset/images/-5729402204506919267.png""]",train,1
image_paths,"[""dataset/images/-220649468572111832.png""]",train,1
image_paths,"[""dataset/images/-279706990198364070.png"", ""dataset/images/3938616269154962290.png"", ""dataset/images/8763368682344373991.png""]",train,1
image_paths,"[""dataset/images/-3205742176803893704.png""]",train,1
image_paths,"[""dataset/images/-341324569907477536.png"", ""dataset/images/3927578437049943988.png""]",train,1
image_paths,"[""dataset/images/-3575683440831198879.png"", ""dataset/images/6164754101533643044.png"", ""dataset/images/7125798012232703466.png""]",train,1
image_paths,"[""dataset/images/-3799298995660217860.png"", ""dataset/images/-5881426422999442186.png"", ""dataset/images/5854025080806696361.png""]",train,1
image_paths,"[""dataset/images/-391640499672655770.png"", ""dataset/images/3111012533630313649.png"", ""dataset/images/6085484382718117078.png""]",train,1
image_paths,"[""dataset/images/-4027806997035329030.png""]",train,1
image_paths,"[""dataset/images/-4326892319323394160.png"", ""dataset/images/9220825364228471548.png""]",train,1
image_paths,"[""dataset/images/-4762289084741430925.png""]",train,1
image_paths,"[""dataset/images/-5770661990085000188.png"", ""dataset/images/-8349802738790668557.png"", ""dataset/images/731742664166354327.png""]",train,1
image_paths,"[""dataset/images/-624650480319720761.png"", ""dataset/images/-8949922789161037515.png"", ""dataset/images/9134455923379814497.png""]",train,1
image_paths,"[""dataset/images/-6942912841265248602.png"", ""dataset/images/-815168034213335912.png"", ""dataset/images/8479707042238010445.png""]",train,1
image_paths,"[""dataset/images/2919857728265265465.png""]",train,1
image_paths,"[""dataset/images/3555413581650656128.png"", ""dataset/images/3687748662758014770.png"", ""dataset/images/6009089937639583499.png""]",train,1
image_paths,"[""dataset/images/8406712750126834903.png""]",train,1
image_paths,"[""dataset/images/8799338481763066353.png""]",train,1
image_paths,"[""dataset/images/-217828380359571871.png"", ""dataset/images/-4055728304670056584.png""]",validation,1
image_paths,"[""dataset/images/-5269458538164604429.png"", ""dataset/images/-6089238948494608895.png"", ""dataset/images/8607020515207878117.png""]",validation,1
image_paths,"[""dataset/images/-7488721783507435350.png"", ""dataset/images/5053055464292650713.png""]",validation,1
resolved_image_count,2,test,1
resolved_image_count,3,test,5
resolved_image_count,1,train,7
resolved_image_count,2,train,2
