case_id,status
-1000600354148496558,matched
-1002039107727665188,matched
-1003358831658393077,matched
-1003844406100696311,matched
-1005079160214352144,matched
-1010778459521153386,matched
-1013831220015814987,matched
-101827005996397499,matched
-1022162013984621110,matched
-1036981968706453829,matched
-1057240568748349024,matched
-1060130963443704102,matched
-1073891379022187312,matched
-1128330186348790427,matched
-1730483479936515624,matched
-2593270997761285390,matched
-2931209707897506268,matched
1339661251231389364,matched
1758113703342084825,matched
6852533470111150420,matched
7957037724011770922,matched
7978747053447862871,matched
798779969514304987,matched
8459067086276982316,matched
8610378261454617847,matched
8775541043281471206,matched
9047654489067734884,matched
966663640331506400,matched
-1031911667791094656,raw_metadata_only
-1033431645373513522,raw_metadata_only
-1044594585476135937,raw_metadata_only
-1056928533969389753,raw_metadata_only
-106405243948208551,raw_metadata_only
-1067542267811956200,raw_metadata_only
-1073544188024944010,raw_metadata_only
-1079717215777778516,raw_metadata_only
-1087381795155772077,raw_metadata_only
-1089800692688279258,raw_metadata_only
-1101392520794914783,raw_metadata_only
-111683086443147412,raw_metadata_only
-1120481478267460560,raw_metadata_only
-113091225230567987,raw_metadata_only
-1131745754224368828,raw_metadata_only
-1137468110374856758,raw_metadata_only
-1147365175896762601,raw_metadata_only
-114959561601268372,raw_metadata_only
-1160477743339353280,raw_metadata_only
-1175252715545111648,raw_metadata_only
-1176139745215707994,raw_metadata_only
-1186785859296268316,raw_metadata_only
-1194971820059996286,raw_metadata_only
-1204349630028029673,raw_metadata_only
-1207834327352514621,raw_metadata_only
-1212008586821278166,raw_metadata_only
-1212770266425026516,raw_metadata_only
-1213387482804414270,raw_metadata_only
-1214152415217842430,raw_metadata_only
-1219618387013167058,raw_metadata_only
-1226908042701108862,raw_metadata_only
-1235573782679771458,raw_metadata_only
-1243602176678500074,raw_metadata_only
-1248246033945054233,raw_metadata_only
-1251963679158960118,raw_metadata_only
-1254264658081974557,raw_metadata_only
-1255305323698889844,raw_metadata_only
-1261265309605882327,raw_metadata_only
-1262951599314161924,raw_metadata_only
-1263855921325980066,raw_metadata_only
-1272269089515966092,raw_metadata_only
-1285017031068666038,raw_metadata_only
-1287537139414408239,raw_metadata_only
-1299793689195137504,raw_metadata_only
-130215202506383973,raw_metadata_only
-1306019410543480387,raw_metadata_only
-13131843686168963,raw_metadata_only
-1314807227897440400,raw_metadata_only
-1333015211845690309,raw_metadata_only
-1337979528936324516,raw_metadata_only
-1362015246551257780,raw_metadata_only
-1369732580479712253,raw_metadata_only
-1371350548664137971,raw_metadata_only
-1378411267380773173,raw_metadata_only
-1388057736180861488,raw_metadata_only
-1410373638686722492,raw_metadata_only
-1412400779946112751,raw_metadata_only
-141393122114413977,raw_metadata_only
-1420442426037207871,raw_metadata_only
-1421944459823256225,raw_metadata_only
-1425393958987146449,raw_metadata_only
-1426862160478842898,raw_metadata_only
-1432754611217093642,raw_metadata_only
-1440607007617551864,raw_metadata_only
-1448009532383550503,raw_metadata_only
-1449778248329382586,raw_metadata_only
-1461655318304999587,raw_metadata_only
-1465287498233593963,raw_metadata_only
-1466240726537901317,raw_metadata_only
-1479210190623557731,raw_metadata_only
-1480302206820013284,raw_metadata_only
-1489059460537780682,raw_metadata_only
-1489554259511957542,raw_metadata_only
-1490620546587137533,raw_metadata_only
-1492320040193351416,raw_metadata_only
-1493032202640361702,raw_metadata_only
-1494331029868205083,raw_metadata_only
-1499518133606453111,raw_metadata_only
-1502911455314184658,raw_metadata_only
-1506234296954769772,raw_metadata_only
-150838352918869442,raw_metadata_only
-1514456898517312171,raw_metadata_only
-1521661966793304054,raw_metadata_only
-1538047329824227087,raw_metadata_only
-1542204444296561059,raw_metadata_only
-1542593210179870498,raw_metadata_only
-1546088961016604032,raw_metadata_only
-1571750243156555704,raw_metadata_only
-1575270296046274366,raw_metadata_only
-1576054129533543952,raw_metadata_only
-158089738637053724,raw_metadata_only
-1587438555169083999,raw_metadata_only
-158775017522447626,raw_metadata_only
-1588895591454796436,raw_metadata_only
-1591850424860312359,raw_metadata_only
-159306299408086544,raw_metadata_only
-1607687872846341789,raw_metadata_only
-1610022389679467961,raw_metadata_only
-1615996741063613277,raw_metadata_only
-1616454963494052359,raw_metadata_only
-162327857281578644,raw_metadata_only
-1627627850086456966,raw_metadata_only
-1634812113032318983,raw_metadata_only
-1636484005075863505,raw_metadata_only
-1642854588169009714,raw_metadata_only
-1642983824354302525,raw_metadata_only
-1647208460985153529,raw_metadata_only
-1659559780402537085,raw_metadata_only
-1670149440760145403,raw_metadata_only
-167378004455290906,raw_metadata_only
-1679661288171171796,raw_metadata_only
-1679749674012412690,raw_metadata_only
-1682385186378870551,raw_metadata_only
-1687786499395222413,raw_metadata_only
-1688996550472163044,raw_metadata_only
-1694584375310842794,raw_metadata_only
-1698000878108568001,raw_metadata_only
-1698385877925393566,raw_metadata_only
-1701663277076532920,raw_metadata_only
-1704513895095613963,raw_metadata_only
-1710683267759148357,raw_metadata_only
-171151970377645525,raw_metadata_only
-171207265984757447,raw_metadata_only
-1712619350051039848,raw_metadata_only
-172847504564561903,raw_metadata_only
-1733088243273090927,raw_metadata_only
-1733892733234992438,raw_metadata_only
-1739997494738345481,raw_metadata_only
-1760420203445162523,raw_metadata_only
-1774356240199512703,raw_metadata_only
-177741761654665523,raw_metadata_only
-1777911181919401326,raw_metadata_only
-1786703330234763729,raw_metadata_only
-178687650198430428,raw_metadata_only
-1788764528155359436,raw_metadata_only
-1795140826943421698,raw_metadata_only
-1796547571098049782,raw_metadata_only
-1796688741678634515,raw_metadata_only
-1800345024210002541,raw_metadata_only
-1801773442347821171,raw_metadata_only
-1805033066219157454,raw_metadata_only
-1808018224099743690,raw_metadata_only
-1816252377879876704,raw_metadata_only
-1816349243281428100,raw_metadata_only
-1817070931922324358,raw_metadata_only
-1822381819381484229,raw_metadata_only
-1829482998281419916,raw_metadata_only
-1829868329489860851,raw_metadata_only
-1834609919572055750,raw_metadata_only
-183496694001647318,raw_metadata_only
-1842961559271325132,raw_metadata_only
-1848692266907140262,raw_metadata_only
-1849137245283207036,raw_metadata_only
-185529518023482284,raw_metadata_only
-1855876897354133713,raw_metadata_only
-1863232809958220678,raw_metadata_only
-1867477807071653688,raw_metadata_only
-1868963273118308625,raw_metadata_only
-1871735434370862272,raw_metadata_only
-1876369085985161417,raw_metadata_only
-1878373055854834168,raw_metadata_only
-1884386860080869294,raw_metadata_only
-1884555042005857326,raw_metadata_only
-1885006961985571245,raw_metadata_only
-1887628934277529772,raw_metadata_only
-1889046915376487018,raw_metadata_only
-1890377253000752937,raw_metadata_only
-1899549738559203180,raw_metadata_only
-1909214615567585672,raw_metadata_only
-1909970519930180392,raw_metadata_only
-191075219310428463,raw_metadata_only
-1913879392504838169,raw_metadata_only
-1913971062483116292,raw_metadata_only
-1937936622693861461,raw_metadata_only
-1939887750413960945,raw_metadata_only
-194017562508969044,raw_metadata_only
