case_id,slot,image_path,absolute_path,exists
-1000600354148496558,0,dataset/images/-3205742176803893704.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-3205742176803893704.png,True
-1002039107727665188,0,dataset/images/-4762289084741430925.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-4762289084741430925.png,True
-1003358831658393077,0,dataset/images/-4027806997035329030.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-4027806997035329030.png,True
-1003826561155964328,0,dataset/images/-5332065579713135540.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-5332065579713135540.png,True
-1003826561155964328,1,dataset/images/-6353431708064969797.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-6353431708064969797.png,True
-1003826561155964328,2,dataset/images/742075435141960831.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/742075435141960831.png,True
-1003844406100696311,0,dataset/images/-3799298995660217860.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-3799298995660217860.png,True
-1003844406100696311,1,dataset/images/-5881426422999442186.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-5881426422999442186.png,True
-1003844406100696311,2,dataset/images/5854025080806696361.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/5854025080806696361.png,True
-1005079160214352144,0,dataset/images/-3575683440831198879.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-3575683440831198879.png,True
-1005079160214352144,1,dataset/images/6164754101533643044.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/6164754101533643044.png,True
-1005079160214352144,2,dataset/images/7125798012232703466.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/7125798012232703466.png,True
-1010778459521153386,0,dataset/images/-6942912841265248602.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-6942912841265248602.png,True
-1010778459521153386,1,dataset/images/-815168034213335912.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-815168034213335912.png,True
-1010778459521153386,2,dataset/images/8479707042238010445.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/8479707042238010445.png,True
-1013831220015814987,0,dataset/images/-220649468572111832.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-220649468572111832.png,True
-101827005996397499,0,dataset/images/-217828380359571871.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-217828380359571871.png,True
-101827005996397499,1,dataset/images/-4055728304670056584.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-4055728304670056584.png,True
-1022162013984621110,0,dataset/images/8406712750126834903.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/8406712750126834903.png,True
-1031911667791094656,0,dataset/images/-3712452163219577722.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-3712452163219577722.png,True
-1031911667791094656,1,dataset/images/-983426416985154601.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-983426416985154601.png,True
-1031911667791094656,2,dataset/images/8538075517728087299.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/8538075517728087299.png,True
-1033431645373513522,0,dataset/images/-1677898261371801194.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-1677898261371801194.png,True
-1033431645373513522,1,dataset/images/2587768503558995392.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/2587768503558995392.png,True
-1033431645373513522,2,dataset/images/5836170508263925618.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/5836170508263925618.png,True
-1036016816671158395,0,dataset/images/-4468092162346386244.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-4468092162346386244.png,True
-1036016816671158395,1,dataset/images/-630763911369653872.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-630763911369653872.png,True
-1036016816671158395,2,dataset/images/4131134852171985059.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/4131134852171985059.png,True
-1036981968706453829,0,dataset/images/2919857728265265465.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/2919857728265265465.png,True
-1037438006618214143,0,dataset/images/-7305545407741188289.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-7305545407741188289.png,True
-1044594585476135937,0,dataset/images/-3482201713629668213.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-3482201713629668213.png,True
-1044594585476135937,1,dataset/images/-6935660778031340024.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/-6935660778031340024.png,True
-1044594585476135937,2,dataset/images/4479949838296190744.png,/Users/vatsal1/Projects/github/DermoLens/derm-train/data/raw_images/images/dataset/images/4479949838296190744.png,True
